prophage_contig_name,all_activate_count,stool_activate_count,capsule_activate_count,saliva_activate_count,all_dormant_count,stool_dormant_count,capsule_dormant_count,saliva_dormant_count,all_undetected_count,stool_undetected_count,capsule_undetected_count,saliva_undetected_count,all_active_sample,contig,sample,bin_name,fastani_classification,checkm_marker_lineage,taxonomy,annotated,active
K5_1-k141_3085,2,0,2,0,237,58,157,22,20,0,13,7,"D17_2,E20_2,E2_2",NA,NA,NA,NA,NA,NA,no,yes
K5_1-k141_4453,0,0,0,0,244,58,161,25,15,0,11,4,NA,k141_4453,K5_1,K5_1.bin.9,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B,f__Lachnospiraceae (UID1256),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena_B,yes,no
K6_2-k141_17115,6,0,6,0,241,58,154,29,12,0,12,0,"I10_2,I22_2,I8_2,J15_2,K2_2,K6_2,P23_2",NA,NA,NA,NA,NA,NA,no,yes
K7_2-k141_115993,1,0,1,0,250,58,163,29,8,0,8,0,D23_2,k141_115993,K7_2,K7_2.bin.8,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__,k__Bacteria (UID203),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__,yes,yes
K7_2-k141_49786,0,0,0,0,209,56,124,29,50,2,48,0,NA,NA,NA,NA,NA,NA,NA,no,no
K7_2-k141_963,0,0,0,0,46,6,11,29,213,52,161,0,NA,NA,NA,NA,NA,NA,NA,no,no
K8_2-k141_16854,0,0,0,0,237,58,161,18,22,0,11,11,NA,NA,NA,NA,NA,NA,NA,no,no
K8_2-k141_26958,0,0,0,0,241,58,156,27,18,0,16,2,NA,k141_26958,K8_2,K8_2.bin.17,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,no
K9_2-k141_10817,0,0,0,0,140,32,79,29,119,26,93,0,NA,NA,NA,NA,NA,NA,NA,no,no
K9_2-k141_11347,0,0,0,0,44,8,7,29,215,50,165,0,NA,k141_11347,K9_2,K9_2.bin.26,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sicca_D,f__Neisseriaceae (UID3890),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sicca_D,yes,no
K9_2-k141_42971,0,0,0,0,96,28,39,29,163,30,133,0,NA,k141_42971,K9_2,K9_2.bin.32,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria_D;s__Neisseria_D elongata,f__Neisseriaceae (UID3890),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria_D;s__Neisseria_D elongata,yes,no
L15_1-k141_13686,6,0,6,0,162,43,116,3,91,15,50,26,"F15_1,H15_1,H23_1,J15_1,L15_1,O11_1,O19_1",k141_13686,L15_1,L15_1.bin.24,NA,c__Deltaproteobacteria (UID3218),c__Deltaproteobacteria (UID3218),yes,yes
